age,worker,size,compartment,deposition.fraction
Adult,FALSE,3,AI1,0.02701
Adult,FALSE,5,AI1,0.01937
Adult,FALSE,10,AI1,0.009105
Adult,FALSE,0.001,AI2,0.0003185
Adult,FALSE,0.003,AI2,0.0003185
Adult,FALSE,0.01,AI2,0.1507
Adult,FALSE,0.03,AI2,0.2935
Adult,FALSE,0.1,AI2,0.1717
Adult,FALSE,0.3,AI2,0.08988
Adult,FALSE,1,AI2,0.06888
Adult,FALSE,3,AI2,0.05402
Adult,FALSE,5,AI2,0.03874
Adult,FALSE,10,AI2,0.01821
Adult,FALSE,0.001,AI3,5.309e-05
Adult,FALSE,0.003,AI3,5.309e-05
Adult,FALSE,0.01,AI3,0.02512
Adult,FALSE,0.03,AI3,0.04891
Adult,FALSE,0.1,AI3,0.02862
Adult,FALSE,0.3,AI3,0.01498
Adult,FALSE,1,AI3,0.01148
Adult,FALSE,3,AI3,0.009004
Adult,FALSE,5,AI3,0.006456
Adult,FALSE,10,AI3,0.003035
Adult,FALSE,0.001,bb1,0.02111
Adult,FALSE,0.003,bb1,0.02111
Adult,FALSE,0.01,bb1,0.1326
Adult,FALSE,0.03,bb1,0.07661
Adult,FALSE,0.1,bb1,0.03591
Adult,FALSE,0.3,bb1,0.0167
Adult,FALSE,1,bb1,0.009879
Adult,FALSE,3,bb1,0.01
Adult,FALSE,5,bb1,0.009045
Adult,FALSE,10,bb1,0.006013
Adult,FALSE,0.001,bb2,0.02141
Adult,FALSE,0.003,bb2,0.02141
Adult,FALSE,0.01,bb2,0.1345
Adult,FALSE,0.03,bb2,0.0777
Adult,FALSE,0.1,bb2,0.03642
Adult,FALSE,0.3,bb2,0.01693
Adult,FALSE,1,bb2,0.009494
Adult,FALSE,3,bb2,0.007532
Adult,FALSE,5,bb2,0.005681
Adult,FALSE,10,bb2,0.002797
Adult,FALSE,0.001,bbseq,0.0002997
Adult,FALSE,0.003,bbseq,0.0002997
Adult,FALSE,0.01,bbseq,0.001882
Adult,FALSE,0.03,bbseq,0.001088
Adult,FALSE,0.1,bbseq,0.0005099
Adult,FALSE,0.3,bbseq,0.0002371
Adult,FALSE,1,bbseq,0.0001366
Adult,FALSE,3,bbseq,0.0001236
Adult,FALSE,5,bbseq,0.0001038
