age,worker,size,compartment,deposition.fraction
1y,FALSE,1,bbseq,0.0001195
1y,FALSE,3,bbseq,5.954e-05
1y,FALSE,5,bbseq,4.129e-05
1y,FALSE,10,bbseq,2.055e-05
1y,FALSE,0.001,BB1,0.03686
1y,FALSE,0.003,BB1,0.07173
1y,FALSE,0.01,BB1,0.05517
1y,FALSE,0.03,BB1,0.02153
1y,FALSE,0.1,BB1,0.009628
1y,FALSE,0.3,BB1,0.005471
1y,FALSE,1,BB1,0.00532
1y,FALSE,3,BB1,0.006697
1y,FALSE,5,BB1,0.006493
1y,FALSE,10,BB1,0.004935
1y,FALSE,0.001,BB2,0.03739
1y,FALSE,0.003,BB2,0.07275
1y,FALSE,0.01,BB2,0.05595
1y,FALSE,0.03,BB2,0.02184
1y,FALSE,0.1,BB2,0.009765
1y,FALSE,0.3,BB2,0.005542
1y,FALSE,1,BB2,0.005018
1y,FALSE,3,BB2,0.004693
1y,FALSE,5,BB2,0.003576
1y,FALSE,10,BB2,0.001775
1y,FALSE,0.001,BBseq,0.0005234
1y,FALSE,0.003,BBseq,0.001019
1y,FALSE,0.01,BBseq,0.0007833
1y,FALSE,0.03,BBseq,0.0003058
1y,FALSE,0.1,BBseq,0.0001367
1y,FALSE,0.3,BBseq,7.763e-05
1y,FALSE,1,BBseq,7.287e-05
1y,FALSE,3,BBseq,8.029e-05
1y,FALSE,5,BBseq,7.098e-05
1y,FALSE,10,BBseq,4.73e-05
1y,FALSE,0.001,ET2,0.45
1y,FALSE,0.003,ET2,0.3674
1y,FALSE,0.01,ET2,0.1902
1y,FALSE,0.03,ET2,0.07379
1y,FALSE,0.1,ET2,0.03444
1y,FALSE,0.3,ET2,0.08744
1y,FALSE,1,ET2,0.2729
1y,FALSE,3,ET2,0.4132
1y,FALSE,5,ET2,0.4255
1y,FALSE,10,ET2,0.3935
1y,FALSE,0.001,ETseq,0.0002251
1y,FALSE,0.003,ETseq,0.0001838
1y,FALSE,0.01,ETseq,9.515e-05
1y,FALSE,0.03,ETseq,3.692e-05
1y,FALSE,0.1,ETseq,1.723e-05
1y,FALSE,0.3,ETseq,4.374e-05
1y,FALSE,1,ETseq,0.0001365
1y,FALSE,3,ETseq,0.0002067
1y,FALSE,5,ETseq,0.0002129
1y,FALSE,10,ETseq,0.0001969
1y,FALSE,0.001,ET1,0.4566
1y,FALSE,0.003,ET1,0.3539
1y,FALSE,0.01,ET1,0.1693
1y,FALSE,0.03,ET1,0.06604
1y,FALSE,0.1,ET1,0.03297
1y,FALSE,0.3,ET1,0.07359
1y,FALSE,1,ET1,0.2107
1y,FALSE,3,ET1,0.3421
1y,FALSE,5,ET1,0.3707
1y,FALSE,10,ET1,0.3648
3mo,FALSE,0.001,AI1,2.047e-07
3mo,FALSE,0.003,AI1,0.0002435
3mo,FALSE,0.01,AI1,0.02412
3mo,FALSE,0.03,AI1,0.09882
3mo,FALSE,0.1,AI1,0.08379
3mo,FALSE,0.3,AI1,0.04623
3mo,FALSE,1,AI1,0.02569
3mo,FALSE,3,AI1,0.01393
3mo,FALSE,5,AI1,0.00873
3mo,FALSE,10,AI1,0.003507
3mo,FALSE,0.001,AI2,4.093e-07
3mo,FALSE,0.003,AI2,0.0004871
3mo,FALSE,0.01,AI2,0.04825
3mo,FALSE,0.03,AI2,0.1976
3mo,FALSE,0.1,AI2,0.1676
3mo,FALSE,0.3,AI2,0.09246
3mo,FALSE,1,AI2,0.05137
3mo,FALSE,3,AI2,0.02786
3mo,FALSE,5,AI2,0.01746
3mo,FALSE,10,AI2,0.007014
3mo,FALSE,0.001,AI3,6.822e-08
3mo,FALSE,0.003,AI3,8.118e-05
3mo,FALSE,0.01,AI3,0.008041
3mo,FALSE,0.03,AI3,0.03294
3mo,FALSE,0.1,AI3,0.02793
3mo,FALSE,0.3,AI3,0.01541
3mo,FALSE,1,AI3,0.008562
3mo,FALSE,3,AI3,0.004644
3mo,FALSE,5,AI3,0.00291
3mo,FALSE,10,AI3,0.001169
3mo,FALSE,0.001,bb1,0.002644
3mo,FALSE,0.003,bb1,0.03475
3mo,FALSE,0.01,bb1,0.1415
3mo,FALSE,0.03,bb1,0.1077
3mo,FALSE,0.1,bb1,0.05329
3mo,FALSE,0.3,bb1,0.02536
3mo,FALSE,1,bb1,0.01015
3mo,FALSE,3,bb1,0.005013
3mo,FALSE,5,bb1,0.003578
3mo,FALSE,10,bb1,0.001921
3mo,FALSE,0.001,bb2,0.002682
3mo,FALSE,0.003,bb2,0.03524
3mo,FALSE,0.01,bb2,0.1435
3mo,FALSE,0.03,bb2,0.1092
3mo,FALSE,0.1,bb2,0.05405
3mo,FALSE,0.3,bb2,0.02572
3mo,FALSE,1,bb2,0.01015
3mo,FALSE,3,bb2,0.004383
3mo,FALSE,5,bb2,0.002712
3mo,FALSE,10,bb2,0.001115
3mo,FALSE,0.001,bbseq,3.754e-05
3mo,FALSE,0.003,bbseq,0.0004934
3mo,FALSE,0.01,bbseq,0.00201
3mo,FALSE,0.03,bbseq,0.001529
3mo,FALSE,0.1,bbseq,0.0007567
3mo,FALSE,0.3,bbseq,0.0003601
3mo,FALSE,1,bbseq,0.0001432
3mo,FALSE,3,bbseq,6.623e-05
3mo,FALSE,5,bbseq,4.435e-05
3mo,FALSE,10,bbseq,2.14e-05
3mo,FALSE,0.001,BB1,0.03609
3mo,FALSE,0.003,BB1,0.08218
3mo,FALSE,0.01,BB1,0.07247
3mo,FALSE,0.03,BB1,0.02935
3mo,FALSE,0.1,BB1,0.01307
3mo,FALSE,0.3,BB1,0.007063
3mo,FALSE,1,BB1,0.005299
3mo,FALSE,3,BB1,0.005974
3mo,FALSE,5,BB1,0.005784
3mo,FALSE,10,BB1,0.004458
3mo,FALSE,0.001,BB2,0.0366
3mo,FALSE,0.003,BB2,0.08335
3mo,FALSE,0.01,BB2,0.0735
3mo,FALSE,0.03,BB2,0.02977
3mo,FALSE,0.1,BB2,0.01326
3mo,FALSE,0.3,BB2,0.007157
3mo,FALSE,1,BB2,0.005038
3mo,FALSE,3,BB2,0.004164
3mo,FALSE,5,BB2,0.003131
3mo,FALSE,10,BB2,0.00155
3mo,FALSE,0.001,BBseq,0.0005124
3mo,FALSE,0.003,BBseq,0.001167
3mo,FALSE,0.01,BBseq,0.001029
3mo,FALSE,0.03,BBseq,0.0004167
3mo,FALSE,0.1,BBseq,0.0001856
3mo,FALSE,0.3,BBseq,0.0001002
3mo,FALSE,1,BBseq,7.287e-05
3mo,FALSE,3,BBseq,7.147e-05
3mo,FALSE,5,BBseq,6.285e-05
3mo,FALSE,10,BBseq,4.235e-05
3mo,FALSE,0.001,ET2,0.4543
3mo,FALSE,0.003,ET2,0.3749
3mo,FALSE,0.01,ET2,0.1978
3mo,FALSE,0.03,ET2,0.07694
3mo,FALSE,0.1,ET2,0.03518
3mo,FALSE,0.3,ET2,0.08663
3mo,FALSE,1,ET2,0.2719
3mo,FALSE,3,ET2,0.4133
3mo,FALSE,5,ET2,0.4258
3mo,FALSE,10,ET2,0.3938
3mo,FALSE,0.001,ETseq,0.0002273
3mo,FALSE,0.003,ETseq,0.0001876
3mo,FALSE,0.01,ETseq,9.895e-05
3mo,FALSE,0.03,ETseq,3.849e-05
3mo,FALSE,0.1,ETseq,1.76e-05
3mo,FALSE,0.3,ETseq,4.333e-05
3mo,FALSE,1,ETseq,0.000136
3mo,FALSE,3,ETseq,0.0002068
3mo,FALSE,5,ETseq,0.000213
3mo,FALSE,10,ETseq,0.000197
3mo,FALSE,0.001,ET1,0.4618
3mo,FALSE,0.003,ET1,0.3629
3mo,FALSE,0.01,ET1,0.1763
3mo,FALSE,0.03,ET1,0.06879
3mo,FALSE,0.1,ET1,0.03356
3mo,FALSE,0.3,ET1,0.07299
3mo,FALSE,1,ET1,0.2097
3mo,FALSE,3,ET1,0.3416
3mo,FALSE,5,ET1,0.3704
3mo,FALSE,10,ET1,0.3647
